Clave Municipio,"Clave 
Estado",Region,Estado,Municipio,Poblacion,Poblacion Adulta,Poblacion Adulta Mujeres,Poblacion Adulta Hombres,Tipo de poblacion,PA Sucursales banca comercial,PA Sucursales banca de desarrollo,PA Sucursales Socap,PA Sucursales Sofipo,"PA Total
Sucursales",PA Corresponsales,PA Cajeros,PA Terminales punto de venta,PA Establecimientos con TPV,PA Contratos que utilizan banca movil,ID Sucursales banca comercial,ID Sucursales banca de desarrollo,ID Sucursales Socap,ID Sucursales Sofipo,"ID Total
Sucursales",ID Corresponsales,ID Cajeros,ID Terminales punto de venta,ID Establecimientos con TPV,ID Contratos que utilizan banca movil,Cable coaxial,DSL,Fibra optica,Creditos bienestar,Crédictos household
17034,17,Centro Sur y Oriente,Morelos,Coatetelco,11358.66438,8322.993754,4363.726993,3959.266761,En Transición,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330
17035,17,Centro Sur y Oriente,Morelos,Xoxocotla,26273.25675,19373.54574,10081.86469,9291.681056,Semi-urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20048,20,Sur,Oaxaca,Magdalena Mixtepec,1411.062096,964.5222642,495.2957764,469.2264878,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
7120,7,Sur,Chiapas,Capitán Luis Ángel Vidal,4062.593436,2833.637249,1418.781987,1414.855262,Rural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.529033226,0,0,0,0,0
7124,7,Sur,Chiapas,Mezcalapa,43482.6626,30731.35882,15796.59643,14934.76239,Semi-urbano,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,7.158811339,0,0,0,1,30
7121,7,Sur,Chiapas,Rincón Chamula San Pedro,8359.712909,5655.102666,2961.040251,2694.062415,En Transición,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10.60988695,0,0,0,0,2
24010,24,Noreste,San Luis Potosí,Ciudad del Maíz,33492.69182,24231.47542,12492.45762,11739.01781,Semi-urbano,1,0,1,0,2,9,4,11,10,82,0.412686385,0,0.412686385,0,0.82537277,3.714177467,1.650745541,4.539550237,4.126863852,33.84028358,0,0,0,44,1
20403,20,Sur,Oaxaca,Santa María Coyotepec,3425.659199,2436.521061,1308.759579,1127.761482,Rural,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,4.10421242,0,0,0,57.45897388,0,0,0,4,0
20516,20,Sur,Oaxaca,Santo Domingo Teojomulco,5059.42605,3557.849453,1842.074729,1715.774724,En Transición,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,2.810686661,0,0,0,59.02441989,0,0,0,0,0
30212,30,Centro Sur y Oriente,Veracruz,Santiago Sochiapan,17195.32412,12658.21676,6722.420335,5935.796425,Semi-urbano,0,0,0,0,0,7,0,2,2,77,0,0,0,0,0,5.530004844,0,1.580001384,1.580001384,60.83005328,0,0,0,12,4
20386,20,Sur,Oaxaca,Santa Cruz Zenzontepec,19082.62217,13041.51989,7006.174429,6035.345461,Semi-urbano,0,0,0,0,0,1,0,0,0,96,0,0,0,0,0,0.766781793,0,0,0,73.61105209,0,0,0,0,9
12078,12,Sur,Guerrero,Cochoapa el Grande,20440.68539,13359.4715,7273.362283,6086.109215,Semi-urbano,1,0,0,0,1,0,1,0,0,102,0.748532605,0,0,0,0.748532605,0,0.748532605,0,0,76.3503257,0,0,0,1,35
20137,20,Sur,Oaxaca,San Francisco Cahuacuá,3641.354294,2570.486683,1359.640251,1210.846432,Rural,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,3.890313872,0,0,0,89.47721905,0,0,0,0,67
20273,20,Sur,Oaxaca,San Miguel Peras,3767.364781,2578.151143,1385.422741,1192.728402,Rural,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,96.96871369,0,0,0,0,1
7082,7,Sur,Chiapas,Sitalá,14595.12613,9910.632244,5078.3285,4832.303744,En Transición,0,0,0,0,0,1,0,1,1,112,0,0,0,0,0,1.009017362,0,1.009017362,1.009017362,113.0099445,0,0,0,10,144
20277,20,Sur,Oaxaca,Villa Sola de Vega,13252.33058,9414.618768,4877.631085,4536.987683,En Transición,1,0,1,0,2,4,1,4,4,108,1.062177901,0,1.062177901,0,2.124355802,4.248711603,1.062177901,4.248711603,4.248711603,114.7152133,0,0,0,15,2
20016,20,Sur,Oaxaca,Coicoyán de las Flores,9214.53861,6018.595547,3367.60026,2650.995287,En Transición,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,136.2444101,0,0,0,13,11
20328,20,Sur,Oaxaca,San Pedro Taviche,1304.399217,893.6792522,469.7028,423.9764522,Rural,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,145.4660603,0,0,0,0,4
20276,20,Sur,Oaxaca,San Miguel Santa Flor,810.5030274,601.1872461,317.5286369,283.6586092,Rural,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,166.3375274,0,0,0,0,145
20490,20,Sur,Oaxaca,Santiago Texcalcingo,3321.585374,2294.508015,1235.70664,1058.801375,Rural,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,169.9710776,0,0,0,0,109
