P1,P2,cluster
-0.5586225051556654,-0.192105793368417,2
-0.5586225051556681,-0.19210579336840494,2
-0.5586225051556681,-0.1921057933684075,2
-0.558819517171592,-0.19186400851216073,2
-0.5590326021758624,-0.19157245625675565,2
-0.5592136370841604,-0.19137731686526868,2
-0.33796564995803874,-0.5375667680580908,2
-0.5618264254302728,-0.18793291226052267,2
-0.5618648668904076,-0.18799326383996479,2
-0.5619754192128842,-0.17448082226068326,2
-0.5626481604419608,-0.18695420233475504,2
-0.04665755103518989,-0.780366520881365,2
-0.5634916609141608,-0.1858136176586104,2
-0.563886791060899,-0.18527128984973723,2
-0.5650055056436069,-0.17544497927750322,2
0.2732991935773909,-0.8659566159932905,1
-0.5660839344136713,-0.1818192252256831,2
-0.5663940265186364,-0.18170113715776176,2
-0.5674448995598191,-0.18013268387039286,2
-0.5676260506422522,-0.17985764039814178,2
-0.5681831938038843,-0.17900274801012853,2
-0.5685172943394617,-0.1784834292114446,2
-0.5283166080996105,-0.12986778356558037,2
-0.5687996125495198,-0.17804058966501676,2
-0.5688094596140387,-0.17802507639731152,2
-0.5690453985133647,-0.15128176285641629,2
-0.5689435343313259,-0.17781339590323725,2
-0.5692455664905912,-0.17720069507381453,2
-0.5589021289200149,-0.08231969712318936,2
-0.5693851993867589,-0.17710997926473068,2
-0.5695535486484113,-0.17683934538681675,2
-0.570015814182985,-0.17537951531047022,2
-0.5701872935848066,-0.1752413386916528,2
-0.5705773502454591,-0.1751623329753364,2
-0.5708429516216855,-0.1747181741956039,2
-0.5709152806659112,-0.13809066311117055,2
-0.5711884574039174,-0.17411536977639264,2
-0.5712092349180107,-0.17408008275409279,2
-0.5712454010552717,-0.17403768647121648,2
-0.5713945302368963,-0.17370584241518544,2
0.2232143016248712,0.22249220140625328,3
-0.5715180547732994,-0.1735714054874956,2
-0.5453695694615734,-0.041699455622744595,2
-0.5706751629172137,-0.12405167998808157,2
-0.5718409536795543,-0.17295775267574853,2
-0.5718754579104455,-0.17295355959602512,2
-0.5719979004509389,-0.1727401236454899,2
-0.5720303774811809,-0.17266532584200886,2
-0.5728045130987096,-0.1621062885079357,2
-0.5722996699285396,-0.17219249858128233,2
-0.5726008538294238,-0.17165827156828287,2
-0.5736338031998446,-0.16261419035973354,2
-0.47806267659178076,0.04617234607348202,2
-0.5735469377195407,-0.16331950373318319,2
-0.573008887923907,-0.17094173258763062,2
-0.573183796932546,-0.17062379392419239,2
-0.5732179293472963,-0.17054523765245058,2
-0.5734752731785544,-0.17008929545422494,2
-0.5736861100313473,-0.16953429413120266,2
-0.5735273863215571,-0.1699773341766983,2
-0.5736076513957814,-0.1698445791097011,2
-0.5738760026963893,-0.16914051982749986,2
-0.5737409822604564,-0.16958141800289353,2
-0.5677259429748628,-0.08202329669841722,2
-0.5743037693305997,-0.1328345589339994,2
-0.5751563591634189,-0.1482668260614308,2
-0.5738542370166961,-0.16938538957147992,2
-0.5738801486053787,-0.1693216960856614,2
-0.5739122298359643,-0.16927675376348794,2
-0.5739214210694285,-0.16925951347916798,2
-0.5742303230939246,-0.16858390045225768,2
-0.5447298701680436,-0.02417980982506052,2
-0.574168695901466,-0.16879333736964747,2
-0.5747543425608106,-0.16345612724849884,2
-0.5742375983510019,-0.16866262061821452,2
-0.5753321678880683,-0.151267169043828,2
-0.5547581639510586,-0.043099880546183,2
-0.5743817167461814,-0.16835908049779663,2
-0.5743823080854494,-0.1683869083633764,2
-0.5750401036241207,-0.16601076418843946,2
-0.5745362673580536,-0.1679699742881031,2
-0.5744690659766308,-0.16822083620814648,2
-0.5746281124337405,-0.16790100258137294,2
-0.5758033192812488,-0.13622115346212982,2
-0.5747319312962121,-0.16771405300927747,2
-0.5755270461217693,-0.1653551814725852,2
-0.5248080316532503,-0.11120687429481457,2
-0.5757492222311529,-0.16293675264866456,2
-0.5749216234152883,-0.16730393769134824,2
-0.5749111112106704,-0.1673654416953747,2
-0.09290164007721984,-0.44481598701260994,2
-0.576202215871737,-0.14556926055600777,2
0.9113108725402034,-0.7224353295335865,1
-0.575037490548866,-0.16711798288051616,2
-0.575502838456095,-0.16274082978072527,2
-0.5751025641839544,-0.1669900491773517,2
-0.5758620812899975,-0.15868070703279846,2
-0.5752510424241098,-0.16669681517554927,2
-0.5752445721674829,-0.11469052417659781,2
-0.5691820857537961,-0.07196350802231433,2
-0.5516640332404819,-0.03055803061346904,2
-0.5755389538195783,-0.16612284790256676,2
-0.568362080016459,-0.07734205006483102,2
-0.5777526358183325,-0.14980598514491422,2
-0.5699944359872885,-0.10982394707275159,2
-0.57606965667881,-0.16468142921571488,2
-0.5757383743226577,-0.16570938409577843,2
-0.5758034004008457,-0.16558925651233058,2
-0.5770860772581419,-0.1477619725747795,2
-0.57632133985852,-0.11704268865182765,2
-0.5758544696530907,-0.1654854878877409,2
-0.575877559736323,-0.16543849286109616,2
-0.5759187611936802,-0.16534324291651922,2
-0.5760492657898683,-0.1649891555636477,2
-0.5759322859340111,-0.16532691460975354,2
-0.5765448992844701,-0.15979463043452136,2
-0.5760529343206281,-0.1650799570398531,2
-0.57809825529206,-0.12920452841632343,2
-0.5736592415955096,-0.09209652458045252,2
-0.5762609647787703,-0.16460661346208721,2
-0.5761972575484304,-0.16478275577661278,2
-0.5771405918087769,-0.15813260957997388,2
-0.5763824608167052,-0.16439847361033616,2
-0.5746792835714625,-0.09871002188224626,2
-0.5764275090861118,-0.16430450200837848,2
-0.5766256475602776,-0.16382502366596677,2
-0.5765617355136647,-0.16400330482450595,2
-0.5109607263505291,0.06006803562954899,2
-0.5765889752162785,-0.16396604702471917,2
-0.5767399536321122,-0.16357332118757364,2
-0.5759062715944742,-0.10087332559074594,2
-0.5783073212979404,-0.13914025683965212,2
-0.5768007791408176,-0.16350889314101238,2
-0.5776027672416465,-0.15830554804496016,2
-0.5769079277643663,-0.16324096555850698,2
-0.5441008207214585,-0.005216781621797808,2
-0.5769676004236505,-0.16311401738344994,2
-0.5770445102477167,-0.1629050255983155,2
-0.5798103840256384,-0.13708289244104896,2
-0.5780138676175522,-0.15326000373828147,2
-0.5787122903479822,-0.1329635428746299,2
-0.5778000544063295,-0.15632724978308285,2
-0.5771978425819456,-0.16263059773964153,2
-0.577167281983851,-0.16273217849559493,2
-0.5787435936182724,-0.14653855412500286,2
-0.5773096246448198,-0.162397996653636,2
-0.5773338850182592,-0.16234528549428515,2
-0.5796161482778535,-0.11717248091865035,2
-0.5774433380856674,-0.16211509945667704,2
-0.5774556413529258,-0.16209614517812912,2
-0.577499674147989,-0.16199162664497294,2
-0.577528859947749,-0.1619193243127621,2
-0.5776480073544373,-0.16163084365634875,2
-0.5775839212921332,-0.16180632136572992,2
-0.5782547653658281,-0.15505924269870036,2
-0.5776543340375091,-0.1616346978312219,2
-0.5781119018620751,-0.1602109126593807,2
-0.5777344359434325,-0.16144020371784665,2
-0.5805857466202803,-0.11919503939778105,2
-0.5777208753572166,-0.16151749117218975,2
-0.5778125231156143,-0.16130646552870503,2
-0.5778346043419944,-0.1612501761414823,2
-0.552809607813565,-0.001663555212266591,2
-0.577927605519669,-0.16102736422731062,2
-0.5800518135392844,-0.13162292826094876,2
-0.5796038094102698,-0.12185730270338195,2
-0.5793886779578008,-0.14785796835122791,2
-0.5796976279937751,-0.127728382603627,2
-0.5768545911950675,-0.0948013526877963,2
-0.5779817117264509,-0.1609330690418031,2
-0.5779920288161664,-0.1609097874392252,2
-0.5799884163481264,-0.13603164331509437,2
-0.579193459779424,-0.1147988139507355,2
-0.5721900660835435,-0.06636167762144234,2
-0.5791305543837576,-0.1515214298532085,2
-0.5801010622644922,-0.133250061692892,2
-0.5784368053891304,-0.1598080948813009,2
-0.5782388108159461,-0.1603490528691433,2
-0.5799660039489827,-0.14090430557113548,2
-0.5782731760115144,-0.16027037504781727,2
-0.5784573750625189,-0.15980416138873146,2
-0.5783634863154065,-0.1600629086339862,2
-0.5783944072434044,-0.15999163887856818,2
-0.578400645824648,-0.15997724484684797,2
-0.5784533193672153,-0.15984568450089612,2
0.06134166463656366,-0.546067332238124,2
-0.5786253834181068,-0.15944662875913648,2
-0.5786707204997994,-0.1593493063890416,2
-0.5788547372294017,-0.15888263249400417,2
-0.5787780500235292,-0.15909344048995697,2
-0.5787822509604935,-0.15908719742690106,2
-0.578846395658326,-0.15892403085211734,2
-0.5789052767560626,-0.15876989806908862,2
-0.5767944789136882,-0.07072811074458976,2
-0.5788608790133281,-0.15889418058982482,2
-0.5788628108665413,-0.15889345234287527,2
-0.5811210076417695,-0.13527704685725606,2
-0.5788809196256098,-0.15885391996012144,2
-0.5789773393094563,-0.1586099462629043,2
-0.5810785345383479,-0.1459682010905173,2
-0.5813241330498207,-0.13046087808664156,2
-0.5793314938657615,-0.15766900947575102,2
-0.5790301785206913,-0.15849849882748063,2
-0.5825485605256714,-0.13599468305512585,2
-0.5782214867203712,-0.0798086449633705,2
-0.5791296616646727,-0.1582598791681648,2
-0.5808327776137797,-0.14330838907433113,2
-0.5804469248701702,-0.1483040014522781,2
-0.5792697775254493,-0.15792140742155,2
-0.579284063219088,-0.15788673888942878,2
-0.5800484301516566,-0.15399284815989822,2
-0.5793582623486302,-0.15770619265004318,2
-0.5793714896047713,-0.15767392225021873,2
-0.5812055342022434,-0.1407606195107178,2
-0.5805594242523108,-0.14927245772543257,2
-0.5816503643938146,-0.12347471520831226,2
-0.5659342402687512,-0.037385293437030655,2
-0.5795920092628316,-0.15712596454691688,2
-0.5795397913430309,-0.15726104206202005,2
-0.5796597596963389,-0.15695653784267938,2
-0.3723364693284767,0.07405413885019455,2
-0.5748166378724436,-0.066303172952656,2
-0.5820693112726488,-0.1215172157100561,2
-0.5395096339426564,0.02918060831582002,2
-0.5736570677152937,-0.06144074680642581,2
-0.5796858522752857,-0.1568987899554458,2
-0.579742386058316,-0.15675615310752392,2
-0.5819184616950949,-0.13467142212122823,2
-0.5788401865120709,-0.08563805956926049,2
-0.5195177978551306,0.05830879317557269,2
-0.5816816842089308,-0.14352060266796057,2
-0.580057327367411,-0.15595810929998133,2
-0.5820716353908285,-0.1411348473589533,2
-0.5693940897851298,-0.03457389952905142,2
-0.5825720702229071,-0.1312276539028659,2
-0.5801580968961395,-0.15570630305108943,2
-0.5801871946758748,-0.15563315276197145,2
-0.5601457717474898,-0.013692354124136117,2
-0.5810816847361386,-0.14540183071492296,2
-0.5841738342537247,-0.12629574147168254,2
-0.5142121597778522,0.007892200232285406,2
-0.5802856096272495,-0.1553778606368108,2
-0.5815011837324913,-0.14816158172754523,2
-0.5828921579281762,-0.10127624380327718,2
-0.581024585764731,-0.15339109397928405,2
-0.5808091768879915,-0.15401828480688362,2
-0.5809587089529363,-0.08805153246511316,2
-0.5806337963839393,-0.15446650236415418,2
-0.5830355070168497,-0.14217371800403716,2
-0.5806514732322908,-0.15441965019232035,2
-0.5806948004728382,-0.1543045672551454,2
-0.5807743588767147,-0.1541057435314969,2
-0.5832994049806847,-0.10484044456465753,2
-0.4802590475422226,0.13010007450993064,2
-0.5787136988785879,-0.05783197625634678,2
-0.5810563384649648,-0.1533505813294229,2
-0.5807923011878925,-0.15404430743875566,2
-0.5817093679840932,-0.15156763094218345,2
-0.5664752973852447,-0.1228300216123413,2
-0.5742171965749276,-0.046184204702869734,2
-0.5809221802267205,-0.1536948078122424,2
-0.583582531847593,-0.1320447246159111,2
-0.5797111251339188,-0.04569976170455597,2
-0.5821106699611619,-0.15013143770218276,2
-0.5662892208117104,-0.0236009684777571,2
-0.5836950328124166,-0.13305693522352052,2
-0.5811419432404066,-0.15309590066092355,2
-0.5644844905454892,-0.016465754985336423,2
-0.5804630965293054,-0.07655259972084029,2
-0.5813452147830273,-0.1525577697038019,2
-0.5777218041193972,-0.05558276151926483,2
-0.5816330674527764,-0.15178859011620663,2
-0.23199894981428046,0.060677863173292386,2
-0.5847475578198026,-0.1258844298886549,2
-0.5845592297480181,-0.10888210835456827,2
-0.5814750971507379,-0.15217676592781354,2
-0.5814732705195026,-0.15217421605110543,2
-0.5815619396081748,-0.15194632806020617,2
-0.5815193768742128,-0.15204409736826424,2
-0.581578597179831,-0.1518993202608651,2
-0.5838514699410383,-0.13463079732219385,2
-0.5815811540534312,-0.15188499089261423,2
-0.5815989362828282,-0.1518268448481394,2
-0.5816130834438729,-0.15177819669518292,2
-0.5816397544725745,-0.1517021563489032,2
-0.5829085046856111,-0.1428799245294433,2
-0.5852540813902618,-0.11596330535167967,2
-0.5846996814222895,-0.10492405315599311,2
-0.5819211720306474,-0.15092717777749642,2
-0.5821187656232412,-0.1504051845684943,2
-0.5820384636181702,-0.15059437168260234,2
-0.5850645833730841,-0.1256084406773123,2
-0.5859422999589021,-0.12406733693232323,2
-0.5819983404015614,-0.1506638150343123,2
-0.5839553696757098,-0.08875263807002513,2
-0.5856620939244606,-0.12830624637880844,2
0.018689800689398014,-0.6977098140522923,2
-0.5850600412905752,-0.11208956292160191,2
-0.5835938021633522,-0.14023671908191318,2
-0.5852983561312239,-0.11903715405722527,2
-0.5288758510359921,0.0608901514679052,2
-0.5822178036353857,-0.15005755246321054,2
-0.582151135059218,-0.15021195556103892,2
-0.5821706775805172,-0.15015373985850114,2
-0.5855993957510007,-0.11462554650590463,2
-0.5847847049386844,-0.13328428666227807,2
-0.582249548863809,-0.1499527981666826,2
-0.5822372138352836,-0.1499548011654821,2
-0.5823045129628986,-0.14975241604423864,2
-0.5823179030867937,-0.14971200718039038,2
-0.5823532464587875,-0.14961810762771083,2
-0.5823369293864613,-0.14965450801138136,2
-0.5844900693253595,-0.13496466827298573,2
-0.5416630231133382,0.06912375590535225,2
-0.5851995527853038,-0.1281753754097748,2
-0.46632537202283975,0.17316198707743072,2
-0.5863016148119764,-0.11715710409642506,2
-0.5826883241860781,-0.1486048090854453,2
-0.582650736629451,-0.14869197541071066,2
-0.5843853226742542,-0.13737870550739784,2
-0.5849890200050392,-0.08164060279946309,2
-0.5826988444277218,-0.1485419763324351,2
-0.5858439630470502,-0.12212089673914811,2
-0.5827243773872519,-0.14846209301670854,2
-0.5848993926010351,-0.08324953931814884,2
-0.5827644651806332,-0.14833628853261654,2
-0.5827738026719322,-0.14830691751574504,2
-0.5828405625582027,-0.14814347072290507,2
-0.5827853877824148,-0.14827044079021637,2
-0.5828673139312922,-0.14807384253569242,2
-0.582838236421766,-0.14810353556235836,2
-0.5860614213939634,-0.11614731312011944,2
-0.584063629294683,-0.14175375783202407,2
-0.5835660106690403,-0.14606981209090228,2
-0.5828969882353879,-0.14791700087238754,2
-0.5873512205363185,-0.11885594036976799,2
-0.5607282076244308,0.007323130028607032,2
-0.5500188206036826,0.039507605631769804,2
-0.5830094420721593,-0.147557010651778,2
-0.5850156082987663,-0.13858727797600043,2
-0.5877487206392276,-0.11441963355543616,2
-0.5859593837227971,-0.12627878306188117,2
-0.5834793418443656,-0.14627802578254973,2
-0.549864223732855,0.03304869062500017,2
-0.5832010336657457,-0.14693444830347124,2
-0.5860283178068635,-0.12778117632817215,2
-0.5619968649269553,0.01256337179741005,2
-0.586628220062951,-0.12156983194946412,2
-0.5817085702430704,-0.014195262640998697,2
-0.5832740084972825,-0.14669415403616146,2
-0.5668994770633498,0.0010445975471953229,2
-0.5813117481551157,-0.038445411939039636,2
-0.5834679652374809,-0.14619886985371663,2
-0.5855298227843062,-0.13134223886599602,2
-0.5872569501543561,-0.1025656507104228,2
-0.5833456018287646,-0.14645665628411095,2
-0.5834998549601528,-0.14607664418934485,2
-0.5866123589983178,-0.12526808457895053,2
0.21013259217487823,0.23200614671575215,3
-0.5834254059112612,-0.1462111074147401,2
-0.5835096673350761,-0.1459892380358441,2
-0.5865053104520507,-0.08106644074303651,2
-0.5838054034561776,-0.145117791247205,2
-0.5842205188227042,-0.06478360599212268,2
-0.5836364086306536,-0.14547334314123506,2
-0.5836435855448141,-0.14544868389709295,2
-0.5872732195189851,-0.10939745727828118,2
-0.5870839064156382,-0.09114800627052255,2
-0.5077374008308896,-0.31993816792734986,2
-0.5843059679543282,-0.1436479824402282,2
-0.5838651786072161,-0.14483906904726163,2
-0.5837307064665509,-0.14514777991390157,2
-0.21126547744511232,-0.683655849791666,2
-0.5842096829744298,-0.1438788293835211,2
-0.5838782179363475,-0.1446571697447435,2
-0.5460707308455267,0.04727742812015041,2
-0.5840047579037692,-0.14426004494218211,2
-0.5840105957037499,-0.14421395752852348,2
-0.5852154998280206,-0.14110779478080343,2
-0.5839770672775535,-0.14428067115688212,2
-0.5158393713085259,0.09852389516891155,2
-0.5840141956157272,-0.14414783133985354,2
-0.5885667783318086,-0.08738089009914839,2
-0.5866198236343569,-0.12827754713839115,2
-0.5868477579795236,-0.07866748062380292,2
-0.5842012431289126,-0.1436066808926441,2
-0.5898624126774346,-0.11230692015175352,2
-0.5841708887988928,-0.1436094750308506,2
-0.5841556474880564,-0.14363630651919684,2
